,title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id.1,uri,track_href,analysis_url,duration_ms,time_signature,original_df,kmean_cluster,db_cluster
4504,Stamp On The Ground,ItaloBrothers,2KgCPRTAECwNbJG1uYdfjl,0.635,0.827,11.0,-7.541,0.0,0.0583,0.211,0.00719,0.0947,0.272,149.974,audio_features,2KgCPRTAECwNbJG1uYdfjl,spotify:track:2KgCPRTAECwNbJG1uYdfjl,https://api.spotify.com/v1/tracks/2KgCPRTAECwNbJG1uYdfjl,https://api.spotify.com/v1/audio-analysis/2KgCPRTAECwNbJG1uYdfjl,197962.0,4.0,not_hot,1,0
4505,Wicker Chair,Kings Of Leon,3L2vZkWxlGn9Ix3ahwozGF,0.645,0.704,0.0,-5.437,1.0,0.0309,0.0592,0.0,0.17,0.475,116.818,audio_features,3L2vZkWxlGn9Ix3ahwozGF,spotify:track:3L2vZkWxlGn9Ix3ahwozGF,https://api.spotify.com/v1/tracks/3L2vZkWxlGn9Ix3ahwozGF,https://api.spotify.com/v1/audio-analysis/3L2vZkWxlGn9Ix3ahwozGF,187933.0,4.0,not_hot,1,0
4506,Avec lui,Michèle Arnaud,2c4NEVTMtKxySMqlTljtBp,0.332,0.274,7.0,-8.059,1.0,0.0343,0.827,0.0,0.358,0.152,126.43,audio_features,2c4NEVTMtKxySMqlTljtBp,spotify:track:2c4NEVTMtKxySMqlTljtBp,https://api.spotify.com/v1/tracks/2c4NEVTMtKxySMqlTljtBp,https://api.spotify.com/v1/audio-analysis/2c4NEVTMtKxySMqlTljtBp,170400.0,5.0,not_hot,0,0
4507,Deep At Night,Alex de Grassi,6CaIv2yNYP9e5u3xNcUrsV,0.439,0.219,3.0,-14.59,1.0,0.039,0.911,0.835,0.257,0.148,148.404,audio_features,6CaIv2yNYP9e5u3xNcUrsV,spotify:track:6CaIv2yNYP9e5u3xNcUrsV,https://api.spotify.com/v1/tracks/6CaIv2yNYP9e5u3xNcUrsV,https://api.spotify.com/v1/audio-analysis/6CaIv2yNYP9e5u3xNcUrsV,309667.0,4.0,not_hot,10,-1
4508,Channa Main Teri Khair,Kuldeep Manak,7e64gWxMmPgnTLzYKYbpIq,0.511,0.914,11.0,-2.085,0.0,0.0568,0.485,0.000382,0.0821,0.969,164.714,audio_features,7e64gWxMmPgnTLzYKYbpIq,spotify:track:7e64gWxMmPgnTLzYKYbpIq,https://api.spotify.com/v1/tracks/7e64gWxMmPgnTLzYKYbpIq,https://api.spotify.com/v1/audio-analysis/7e64gWxMmPgnTLzYKYbpIq,231613.0,4.0,not_hot,5,-1
4510,Do I,Alice Smith,7MdWy6ICKc3jmWL9fFAvoo,0.7,0.473,5.0,-7.024,0.0,0.0424,0.0205,7.84e-06,0.113,0.528,122.985,audio_features,7MdWy6ICKc3jmWL9fFAvoo,spotify:track:7MdWy6ICKc3jmWL9fFAvoo,https://api.spotify.com/v1/tracks/7MdWy6ICKc3jmWL9fFAvoo,https://api.spotify.com/v1/audio-analysis/7MdWy6ICKc3jmWL9fFAvoo,245813.0,4.0,not_hot,3,0
4511,If the House Spoke,Dear Leader,0UenK5lsfcNoxBhyAZpINS,0.635,0.482,2.0,-9.096,1.0,0.027,0.281,0.0027,0.0915,0.38,113.993,audio_features,0UenK5lsfcNoxBhyAZpINS,spotify:track:0UenK5lsfcNoxBhyAZpINS,https://api.spotify.com/v1/tracks/0UenK5lsfcNoxBhyAZpINS,https://api.spotify.com/v1/audio-analysis/0UenK5lsfcNoxBhyAZpINS,287907.0,4.0,not_hot,1,0
4512,Blink of an Eye,Widescreen Mode,1zG1PW6JmzOaer1LGpY8uP,0.512,0.939,11.0,-4.589,0.0,0.0595,6.98e-05,0.194,0.134,0.657,79.99,audio_features,1zG1PW6JmzOaer1LGpY8uP,spotify:track:1zG1PW6JmzOaer1LGpY8uP,https://api.spotify.com/v1/tracks/1zG1PW6JmzOaer1LGpY8uP,https://api.spotify.com/v1/audio-analysis/1zG1PW6JmzOaer1LGpY8uP,258853.0,4.0,not_hot,1,0
4513,Give Me Love,Alannah Myles,1a7Xq0KehVorRI34m0nlhN,0.547,0.784,5.0,-6.286,0.0,0.057,0.0503,0.0,0.0675,0.799,178.098,audio_features,1a7Xq0KehVorRI34m0nlhN,spotify:track:1a7Xq0KehVorRI34m0nlhN,https://api.spotify.com/v1/tracks/1a7Xq0KehVorRI34m0nlhN,https://api.spotify.com/v1/audio-analysis/1a7Xq0KehVorRI34m0nlhN,261493.0,4.0,not_hot,5,-1
4514,Bitter Words,Elisa,62A45jwjVTgTW2iUDSQvl3,0.369,0.875,2.0,-3.726,0.0,0.101,0.0708,0.0,0.0691,0.326,172.208,audio_features,62A45jwjVTgTW2iUDSQvl3,spotify:track:62A45jwjVTgTW2iUDSQvl3,https://api.spotify.com/v1/tracks/62A45jwjVTgTW2iUDSQvl3,https://api.spotify.com/v1/audio-analysis/62A45jwjVTgTW2iUDSQvl3,198960.0,4.0,not_hot,13,1
